Demand for California (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389936&sdid=EBA.CAL-ALL.D.H
04:20:22 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.D.H megawatthours
06/30/2022 06H,39619
06/30/2022 05H,39733
06/30/2022 04H,42801
06/30/2022 03H,43942
06/30/2022 02H,44027
06/30/2022 01H,43375
06/30/2022 00H,42190
06/29/2022 23H,40751
06/29/2022 22H,38782
06/29/2022 21H,37188
06/29/2022 20H,35699
06/29/2022 19H,34777
06/29/2022 18H,33785
06/29/2022 17H,33288
06/29/2022 16H,31287
06/29/2022 15H,29753
06/29/2022 14H,28585
06/29/2022 13H,27876
06/29/2022 12H,27942
06/29/2022 11H,28812
06/29/2022 10H,30038
06/29/2022 09H,31865
06/29/2022 08H,34712
06/29/2022 07H,37779
06/29/2022 06H,40883
06/29/2022 05H,41285
06/29/2022 04H,44664
06/29/2022 03H,46024
06/29/2022 02H,45896
06/29/2022 01H,45150
06/29/2022 00H,44192
06/28/2022 23H,42406
06/28/2022 22H,40548
06/28/2022 21H,39248
06/28/2022 20H,37278
06/28/2022 19H,36203
06/28/2022 18H,35396
06/28/2022 17H,34433
06/28/2022 16H,32730
06/28/2022 15H,30511
06/28/2022 14H,29148
06/28/2022 13H,28342
06/28/2022 12H,29002
06/28/2022 11H,29729
06/28/2022 10H,31260
06/28/2022 09H,33091
06/28/2022 08H,35033
06/28/2022 07H,34901
06/28/2022 06H,37883
06/28/2022 05H,39674
06/28/2022 04H,41197
06/28/2022 03H,42044
06/28/2022 02H,41859
06/28/2022 01H,40582
06/28/2022 00H,39155
06/27/2022 23H,37005
06/27/2022 22H,35261
06/27/2022 21H,33525
06/27/2022 20H,32036
06/27/2022 19H,30824
06/27/2022 18H,29301
06/27/2022 17H,28913
06/27/2022 16H,28041
06/27/2022 15H,26124
06/27/2022 14H,24671
06/27/2022 13H,24198
06/27/2022 12H,24330
06/27/2022 11H,25062
06/27/2022 10H,25779
06/27/2022 09H,27281
06/27/2022 08H,29316
06/27/2022 07H,31956
06/27/2022 06H,34461
06/27/2022 05H,35964
06/27/2022 04H,37288
06/27/2022 03H,37735
06/27/2022 02H,36450
06/27/2022 01H,34589
06/27/2022 00H,32739
06/26/2022 23H,30810
06/26/2022 22H,28567
06/26/2022 21H,26735
06/26/2022 20H,25239
06/26/2022 19H,24141
06/26/2022 18H,23910
06/26/2022 17H,23874
06/26/2022 16H,23756
06/26/2022 15H,22725
06/26/2022 14H,22606
06/26/2022 13H,22976
06/26/2022 12H,23534
06/26/2022 11H,24412
06/26/2022 10H,25619
06/26/2022 09H,27357
06/26/2022 08H,29372
06/26/2022 07H,31566
06/26/2022 06H,33860
06/26/2022 05H,35349
06/26/2022 04H,36693
06/26/2022 03H,37313
06/26/2022 02H,36430
06/26/2022 01H,34940
06/26/2022 00H,33293
06/25/2022 23H,31314
06/25/2022 22H,29975
06/25/2022 21H,27954
06/25/2022 20H,27018
06/25/2022 19H,26224
06/25/2022 18H,25765
06/25/2022 17H,25580
06/25/2022 16H,25138
06/25/2022 15H,24040
06/25/2022 14H,23926
06/25/2022 13H,23990
06/25/2022 12H,24446
06/25/2022 11H,25552
06/25/2022 10H,26960
06/25/2022 09H,28914
06/25/2022 08H,30721
06/25/2022 07H,33403
06/25/2022 06H,36033
06/25/2022 05H,37885
06/25/2022 04H,39556
06/25/2022 03H,40317
06/25/2022 02H,40315
06/25/2022 01H,39310
06/25/2022 00H,38206
06/24/2022 23H,36502
06/24/2022 22H,34524
06/24/2022 21H,32257
06/24/2022 20H,30908
06/24/2022 19H,29892
06/24/2022 18H,29440
06/24/2022 17H,28620
06/24/2022 16H,27300
06/24/2022 15H,25871
06/24/2022 14H,25077
06/24/2022 13H,24564
