Demand for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389946&sdid=EBA.SW-ALL.D.H
04:14:53 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.D.H megawatthours
07/9/2022 03H,20522
07/9/2022 02H,21438
07/9/2022 01H,21893
07/9/2022 00H,21671
07/8/2022 23H,21255
07/8/2022 22H,20801
07/8/2022 21H,20015
07/8/2022 20H,18765
07/8/2022 19H,17503
07/8/2022 18H,16379
07/8/2022 17H,15185
07/8/2022 16H,14179
07/8/2022 15H,13330
07/8/2022 14H,12494
07/8/2022 13H,11971
07/8/2022 12H,11919
07/8/2022 11H,11939
07/8/2022 10H,12232
07/8/2022 09H,12773
07/8/2022 08H,14135
07/8/2022 07H,14789
07/8/2022 06H,16047
07/8/2022 05H,17561
07/8/2022 04H,18907
07/8/2022 03H,19857
07/8/2022 02H,20728
07/8/2022 01H,21001
07/8/2022 00H,20806
07/7/2022 23H,20343
07/7/2022 22H,19763
07/7/2022 21H,18859
07/7/2022 20H,17779
07/7/2022 19H,16757
07/7/2022 18H,15546
07/7/2022 17H,14365
07/7/2022 16H,13353
07/7/2022 15H,12589
07/7/2022 14H,11809
07/7/2022 13H,11325
07/7/2022 12H,11287
07/7/2022 11H,11346
07/7/2022 10H,11603
07/7/2022 09H,12212
07/7/2022 08H,12968
07/7/2022 07H,13933
07/7/2022 06H,15270
07/7/2022 05H,16770
07/7/2022 04H,18133
07/7/2022 03H,19139
07/7/2022 02H,20048
07/7/2022 01H,20318
07/7/2022 00H,20013
07/6/2022 23H,19483
07/6/2022 22H,18898
07/6/2022 21H,18192
07/6/2022 20H,17341
07/6/2022 19H,16436
07/6/2022 18H,15457
07/6/2022 17H,14448
07/6/2022 16H,13543
07/6/2022 15H,12815
07/6/2022 14H,12099
07/6/2022 13H,11431
07/6/2022 12H,11385
07/6/2022 11H,11478
07/6/2022 10H,11879
07/6/2022 09H,12494
07/6/2022 08H,13323
07/6/2022 07H,14263
07/6/2022 06H,15539
07/6/2022 05H,16920
07/6/2022 04H,18281
07/6/2022 03H,19090
07/6/2022 02H,19888
07/6/2022 01H,20290
07/6/2022 00H,20637
07/5/2022 23H,19758
07/5/2022 22H,19177
07/5/2022 21H,18266
07/5/2022 20H,17320
07/5/2022 19H,16259
07/5/2022 18H,15177
07/5/2022 17H,14218
07/5/2022 16H,13491
07/5/2022 15H,12956
07/5/2022 14H,12234
07/5/2022 13H,11865
07/5/2022 12H,11880
07/5/2022 11H,11926
07/5/2022 10H,12202
07/5/2022 09H,12740
07/5/2022 08H,13492
07/5/2022 07H,14441
07/5/2022 06H,15508
07/5/2022 05H,16506
07/5/2022 04H,17449
07/5/2022 03H,18288
07/5/2022 02H,18885
07/5/2022 01H,19328
07/5/2022 00H,19469
07/4/2022 23H,19226
07/4/2022 22H,18845
07/4/2022 21H,18408
07/4/2022 20H,17582
07/4/2022 19H,16361
07/4/2022 18H,15158
07/4/2022 17H,14016
07/4/2022 16H,12857
07/4/2022 15H,12044
07/4/2022 14H,11419
07/4/2022 13H,11204
07/4/2022 12H,11415
07/4/2022 11H,11611
07/4/2022 10H,12069
07/4/2022 09H,12615
07/4/2022 08H,13368
07/4/2022 07H,14312
07/4/2022 06H,15440
07/4/2022 05H,16576
07/4/2022 04H,17648
07/4/2022 03H,18581
07/4/2022 02H,19490
07/4/2022 01H,20014
07/4/2022 00H,19815
07/3/2022 23H,19407
07/3/2022 22H,18874
07/3/2022 21H,18379
07/3/2022 20H,17422
07/3/2022 19H,16547
07/3/2022 18H,15483
07/3/2022 17H,14373
07/3/2022 16H,13372
07/3/2022 15H,12527
07/3/2022 14H,11903
07/3/2022 13H,11617
07/3/2022 12H,11934
07/3/2022 11H,12156
07/3/2022 10H,12606
07/3/2022 09H,13149
07/3/2022 08H,13780
07/3/2022 07H,14375
07/3/2022 06H,15410
07/3/2022 05H,16654
07/3/2022 04H,17872
07/3/2022 03H,18745
07/3/2022 02H,19587
07/3/2022 01H,20080
07/3/2022 00H,19945
07/2/2022 23H,19373
07/2/2022 22H,18702
07/2/2022 21H,17887
07/2/2022 20H,17024
07/2/2022 19H,16110
07/2/2022 18H,15213
07/2/2022 17H,14241
07/2/2022 16H,13385
07/2/2022 15H,12646
07/2/2022 14H,12216
07/2/2022 13H,12231
07/2/2022 12H,12443
07/2/2022 11H,12616
07/2/2022 10H,12986
07/2/2022 09H,13497
07/2/2022 08H,14110
07/2/2022 07H,14753
07/2/2022 06H,15731
07/2/2022 05H,16900
07/2/2022 04H,18070
07/2/2022 03H,18852
07/2/2022 02H,19752
07/2/2022 01H,20352
07/2/2022 00H,20614
07/1/2022 23H,20692
07/1/2022 22H,20579
