Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
05/24/2022 14H,10696
05/24/2022 13H,11297
05/24/2022 12H,11527
05/24/2022 11H,11030
05/24/2022 10H,10120
05/24/2022 09H,9540
05/24/2022 08H,9655
05/24/2022 07H,9796
05/24/2022 06H,10065
05/24/2022 05H,10271
05/24/2022 04H,11018
05/24/2022 03H,12169
05/24/2022 02H,13390
05/24/2022 01H,14162
05/24/2022 00H,14221
05/23/2022 23H,14244
05/23/2022 22H,13887
05/23/2022 21H,13085
05/23/2022 20H,12131
05/23/2022 19H,11566
05/23/2022 18H,11462
05/23/2022 17H,11491
05/23/2022 16H,11496
05/23/2022 15H,11296
05/23/2022 14H,11659
05/23/2022 13H,12098
05/23/2022 12H,12327
05/23/2022 11H,11945
05/23/2022 10H,11551
05/23/2022 09H,11182
05/23/2022 08H,11223
05/23/2022 07H,11577
05/23/2022 06H,11798
05/23/2022 05H,12501
05/23/2022 04H,13569
05/23/2022 03H,14987
05/23/2022 02H,16582
05/23/2022 01H,17778
05/23/2022 00H,18268
05/22/2022 23H,18556
05/22/2022 22H,18286
05/22/2022 21H,17363
05/22/2022 20H,16280
05/22/2022 19H,15460
05/22/2022 18H,14982
05/22/2022 17H,14593
05/22/2022 16H,13755
05/22/2022 15H,12828
05/22/2022 14H,11926
05/22/2022 13H,11328
05/22/2022 12H,11519
05/22/2022 11H,11190
05/22/2022 10H,11062
05/22/2022 09H,11132
05/22/2022 08H,11274
05/22/2022 07H,11586
05/22/2022 06H,11728
05/22/2022 05H,12073
05/22/2022 04H,12958
05/22/2022 03H,13826
05/22/2022 02H,14899
05/22/2022 01H,15620
05/22/2022 00H,15873
05/21/2022 23H,16033
05/21/2022 22H,15544
05/21/2022 21H,14499
05/21/2022 20H,13268
05/21/2022 19H,12146
05/21/2022 18H,11276
05/21/2022 17H,10760
05/21/2022 16H,10964
05/21/2022 15H,11502
05/21/2022 14H,12076
05/21/2022 13H,11902
05/21/2022 12H,11547
05/21/2022 11H,10918
05/21/2022 10H,10514
05/21/2022 09H,10573
05/21/2022 08H,10517
05/21/2022 07H,10612
05/21/2022 06H,10592
05/21/2022 05H,11013
05/21/2022 04H,11231
05/21/2022 03H,12111
05/21/2022 02H,12788
05/21/2022 01H,13321
05/21/2022 00H,13254
05/20/2022 23H,13105
05/20/2022 22H,12645
05/20/2022 21H,11824
05/20/2022 20H,11184
05/20/2022 19H,10741
05/20/2022 18H,10532
05/20/2022 17H,10380
05/20/2022 16H,10582
05/20/2022 15H,11047
05/20/2022 14H,11746
05/20/2022 13H,11905
05/20/2022 12H,11729
05/20/2022 11H,11034
05/20/2022 10H,10117
05/20/2022 09H,9693
05/20/2022 08H,9462
05/20/2022 07H,9521
