Demand for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389944&sdid=EBA.NW-ALL.D.H
04:14:35 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.D.H megawatthours
06/26/2022 06H,41164
06/26/2022 05H,43832
06/26/2022 04H,45556
06/26/2022 03H,46953
06/26/2022 02H,47902
06/26/2022 01H,48246
06/26/2022 00H,47663
06/25/2022 23H,46611
06/25/2022 22H,45234
06/25/2022 21H,43815
06/25/2022 20H,42725
06/25/2022 19H,41480
06/25/2022 18H,40215
06/25/2022 17H,38847
06/25/2022 16H,37377
06/25/2022 15H,35680
06/25/2022 14H,34056
06/25/2022 13H,32965
06/25/2022 12H,32734
06/25/2022 11H,32660
06/25/2022 10H,33324
06/25/2022 09H,34373
06/25/2022 08H,35997
06/25/2022 07H,38057
06/25/2022 06H,40847
06/25/2022 05H,43225
06/25/2022 04H,44980
06/25/2022 03H,46606
06/25/2022 02H,47987
06/25/2022 01H,48604
06/25/2022 00H,48570
06/24/2022 23H,48107
06/24/2022 22H,47637
06/24/2022 21H,47472
06/24/2022 20H,46489
06/24/2022 19H,45421
06/24/2022 18H,44367
06/24/2022 17H,43098
06/24/2022 16H,41603
06/24/2022 15H,39886
06/24/2022 14H,37669
06/24/2022 13H,35462
06/24/2022 12H,34417
06/24/2022 11H,34007
06/24/2022 10H,34121
06/24/2022 09H,35015
06/24/2022 08H,36325
06/24/2022 07H,38292
06/24/2022 06H,40923
06/24/2022 05H,43787
06/24/2022 04H,45745
06/24/2022 03H,47261
06/24/2022 02H,48677
06/24/2022 01H,49832
06/24/2022 00H,50197
06/23/2022 23H,49704
06/23/2022 22H,48744
06/23/2022 21H,47686
06/23/2022 20H,46307
06/23/2022 19H,44936
06/23/2022 18H,43613
06/23/2022 17H,42291
06/23/2022 16H,40909
06/23/2022 15H,39274
06/23/2022 14H,37191
06/23/2022 13H,35071
06/23/2022 12H,33633
06/23/2022 11H,33322
06/23/2022 10H,33700
06/23/2022 09H,33724
06/23/2022 08H,35253
06/23/2022 07H,37522
06/23/2022 06H,40484
06/23/2022 05H,43076
06/23/2022 04H,44919
06/23/2022 03H,46197
06/23/2022 02H,47590
06/23/2022 01H,48205
06/23/2022 00H,47997
06/22/2022 23H,47244
06/22/2022 22H,46495
06/22/2022 21H,45442
06/22/2022 20H,44652
06/22/2022 19H,43660
06/22/2022 18H,42460
06/22/2022 17H,41310
06/22/2022 16H,39851
06/22/2022 15H,38765
06/22/2022 14H,37145
06/22/2022 13H,35149
06/22/2022 12H,33652
06/22/2022 11H,33036
06/22/2022 10H,33226
06/22/2022 09H,33983
06/22/2022 08H,35212
06/22/2022 07H,36732
06/22/2022 06H,39462
06/22/2022 05H,42511
06/22/2022 04H,44558
06/22/2022 03H,45927
06/22/2022 02H,47166
06/22/2022 01H,47267
06/22/2022 00H,46624
06/21/2022 23H,45450
06/21/2022 22H,44330
06/21/2022 21H,43339
06/21/2022 20H,42265
06/21/2022 19H,41116
06/21/2022 18H,40327
06/21/2022 17H,39611
06/21/2022 16H,38806
06/21/2022 15H,37998
06/21/2022 14H,36189
06/21/2022 13H,34042
06/21/2022 12H,32965
06/21/2022 11H,32265
06/21/2022 10H,32293
06/21/2022 09H,32898
06/21/2022 08H,34084
06/21/2022 07H,35839
06/21/2022 06H,38408
06/21/2022 05H,41078
06/21/2022 04H,42885
06/21/2022 03H,43967
06/21/2022 02H,45313
06/21/2022 01H,45569
06/21/2022 00H,44979
06/20/2022 23H,44066
06/20/2022 22H,43461
06/20/2022 21H,42856
06/20/2022 20H,42166
06/20/2022 19H,41630
06/20/2022 18H,41047
06/20/2022 17H,40127
06/20/2022 16H,39114
06/20/2022 15H,37804
06/20/2022 14H,36082
06/20/2022 13H,33878
06/20/2022 12H,32305
06/20/2022 11H,31542
06/20/2022 10H,31396
06/20/2022 09H,31853
06/20/2022 08H,32834
06/20/2022 07H,34320
06/20/2022 06H,36434
06/20/2022 05H,38618
06/20/2022 04H,39637
06/20/2022 03H,40153
06/20/2022 02H,40923
06/20/2022 01H,41178
06/20/2022 00H,40802
06/19/2022 23H,40309
06/19/2022 22H,39638
06/19/2022 21H,39341
06/19/2022 20H,39148
06/19/2022 19H,38721
06/19/2022 18H,38329
06/19/2022 17H,37426
06/19/2022 16H,36264
06/19/2022 15H,34543
06/19/2022 14H,32943
06/19/2022 13H,31876
06/19/2022 12H,31628
06/19/2022 11H,31659
06/19/2022 10H,32019
06/19/2022 09H,32723
06/19/2022 08H,33854
06/19/2022 07H,35315
06/19/2022 06H,37632
