Demand for New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389943&sdid=EBA.NY-ALL.D.H
12:50:26 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.D.H megawatthours
05/15/2022 12H,13170
05/15/2022 11H,12739
05/15/2022 10H,12655
05/15/2022 09H,12647
05/15/2022 08H,12797
05/15/2022 07H,13056
05/15/2022 06H,13485
05/15/2022 05H,14094
05/15/2022 04H,14900
05/15/2022 03H,15863
05/15/2022 02H,16676
05/15/2022 01H,17119
05/15/2022 00H,17146
05/14/2022 23H,17304
05/14/2022 22H,17340
05/14/2022 21H,17202
05/14/2022 20H,17043
05/14/2022 19H,16716
05/14/2022 18H,16540
05/14/2022 17H,16288
05/14/2022 16H,15864
05/14/2022 15H,15395
05/14/2022 14H,15028
05/14/2022 13H,14498
05/14/2022 12H,13859
05/14/2022 11H,13253
05/14/2022 10H,13000
05/14/2022 09H,12940
05/14/2022 08H,13009
05/14/2022 07H,13276
05/14/2022 06H,13709
05/14/2022 05H,14374
05/14/2022 04H,15270
05/14/2022 03H,16374
05/14/2022 02H,17380
05/14/2022 01H,18002
05/14/2022 00H,18348
05/13/2022 23H,18529
05/13/2022 22H,18468
05/13/2022 21H,18136
05/13/2022 20H,17876
05/13/2022 19H,17517
05/13/2022 18H,17157
05/13/2022 17H,16742
05/13/2022 16H,16539
05/13/2022 15H,16435
05/13/2022 14H,16329
05/13/2022 13H,16108
05/13/2022 12H,15496
05/13/2022 11H,14402
05/13/2022 10H,13333
05/13/2022 09H,12786
05/13/2022 08H,12715
05/13/2022 07H,12905
05/13/2022 06H,13291
05/13/2022 05H,13857
05/13/2022 04H,14774
05/13/2022 03H,15966
05/13/2022 02H,17122
05/13/2022 01H,17739
05/13/2022 00H,17778
05/12/2022 23H,17886
05/12/2022 22H,17702
05/12/2022 21H,17137
05/12/2022 20H,16511
05/12/2022 19H,16209
05/12/2022 18H,16073
05/12/2022 17H,15760
05/12/2022 16H,15566
05/12/2022 15H,15510
05/12/2022 14H,15508
05/12/2022 13H,15372
05/12/2022 12H,15007
05/12/2022 11H,14061
05/12/2022 10H,12968
05/12/2022 09H,12307
05/12/2022 08H,12128
05/12/2022 07H,12313
05/12/2022 06H,12658
05/12/2022 05H,13164
05/12/2022 04H,13971
05/12/2022 03H,15119
05/12/2022 02H,16288
05/12/2022 01H,16884
05/12/2022 00H,16924
05/11/2022 23H,16891
05/11/2022 22H,16614
05/11/2022 21H,16102
05/11/2022 20H,15601
05/11/2022 19H,15251
05/11/2022 18H,15055
05/11/2022 17H,14981
05/11/2022 16H,14901
05/11/2022 15H,14841
05/11/2022 14H,14979
05/11/2022 13H,15047
05/11/2022 12H,14866
05/11/2022 11H,14037
05/11/2022 10H,12894
05/11/2022 09H,12224
05/11/2022 08H,12011
05/11/2022 07H,12101
05/11/2022 06H,12382
05/11/2022 05H,12840
05/11/2022 04H,13596
05/11/2022 03H,14649
05/11/2022 02H,15714
05/11/2022 01H,16231
05/11/2022 00H,16147
05/10/2022 23H,16035
05/10/2022 22H,15843
05/10/2022 21H,15423
05/10/2022 20H,14970
05/10/2022 19H,14698
05/10/2022 18H,14607
05/10/2022 17H,14502
05/10/2022 16H,14515
05/10/2022 15H,14539
05/10/2022 14H,14683
05/10/2022 13H,14875
05/10/2022 12H,14959
05/10/2022 11H,14274
05/10/2022 10H,13172
05/10/2022 09H,12457
05/10/2022 08H,12235
05/10/2022 07H,12295
05/10/2022 06H,12524
05/10/2022 05H,12966
05/10/2022 04H,13697
05/10/2022 03H,14731
05/10/2022 02H,15790
05/10/2022 01H,16299
05/10/2022 00H,16130
05/9/2022 23H,15898
05/9/2022 22H,15453
05/9/2022 21H,14851
05/9/2022 20H,14457
05/9/2022 19H,14336
05/9/2022 18H,14329
05/9/2022 17H,14362
05/9/2022 16H,14462
05/9/2022 15H,14549
05/9/2022 14H,14748
05/9/2022 13H,15030
05/9/2022 12H,15127
05/9/2022 11H,14540
05/9/2022 10H,13394
05/9/2022 09H,12613
05/9/2022 08H,12315
05/9/2022 07H,12345
05/9/2022 06H,12527
05/9/2022 05H,12885
05/9/2022 04H,13450
05/9/2022 03H,14278
05/9/2022 02H,15058
05/9/2022 01H,15333
05/9/2022 00H,14962
05/8/2022 23H,14466
05/8/2022 22H,13886
05/8/2022 21H,13280
05/8/2022 20H,12865
05/8/2022 19H,12801
05/8/2022 18H,12827
05/8/2022 17H,13030
05/8/2022 16H,13161
05/8/2022 15H,13171
05/8/2022 14H,13068
05/8/2022 13H,13124
05/8/2022 12H,13020
05/8/2022 11H,12785
05/8/2022 10H,12599
05/8/2022 09H,12432
05/8/2022 08H,12425
05/8/2022 07H,12574
05/8/2022 06H,12862
05/8/2022 05H,13304
05/8/2022 04H,13951
05/8/2022 03H,14702
05/8/2022 02H,15380
05/8/2022 01H,15637
05/8/2022 00H,15402
05/7/2022 23H,15177
05/7/2022 22H,14911
05/7/2022 21H,14558
05/7/2022 20H,14379
05/7/2022 19H,14371
05/7/2022 18H,14508
05/7/2022 17H,14621
05/7/2022 16H,14666
05/7/2022 15H,14591
05/7/2022 14H,14434
05/7/2022 13H,14093
05/7/2022 12H,13584
05/7/2022 11H,12994
05/7/2022 10H,12603
05/7/2022 09H,12364
05/7/2022 08H,12325
05/7/2022 07H,12451
05/7/2022 06H,12721
05/7/2022 05H,13199
05/7/2022 04H,13900
05/7/2022 03H,14766
05/7/2022 02H,15590
05/7/2022 01H,16059
05/7/2022 00H,16116
05/6/2022 23H,16113
05/6/2022 22H,16128
05/6/2022 21H,15992
05/6/2022 20H,15943
05/6/2022 19H,15902
05/6/2022 18H,15937
05/6/2022 17H,16023
05/6/2022 16H,16123
05/6/2022 15H,16095
05/6/2022 14H,15946
05/6/2022 13H,15788
05/6/2022 12H,15284
05/6/2022 11H,14217
05/6/2022 10H,13095
05/6/2022 09H,12399
05/6/2022 08H,12243
05/6/2022 07H,12328
05/6/2022 06H,12652
05/6/2022 05H,13114
05/6/2022 04H,13839
05/6/2022 03H,14819
05/6/2022 02H,15759
05/6/2022 01H,16328
05/6/2022 00H,16139
05/5/2022 23H,16034
05/5/2022 22H,15909
05/5/2022 21H,15496
05/5/2022 20H,15009
05/5/2022 19H,14685
05/5/2022 18H,14638
05/5/2022 17H,14572
05/5/2022 16H,14576
05/5/2022 15H,14640
05/5/2022 14H,14858
05/5/2022 13H,15102
05/5/2022 12H,15136
05/5/2022 11H,14456
05/5/2022 10H,13376
05/5/2022 09H,12671
