Actual Net Interchange for New England (region) to New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390279&sdid=EBA.NE-NY.ID.H
14:48:25 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-NY.ID.H megawatthours
05/12/2022 01H,412
05/12/2022 00H,490
05/11/2022 23H,497
05/11/2022 22H,698
05/11/2022 21H,869
05/11/2022 20H,886
05/11/2022 19H,733
05/11/2022 18H,663
05/11/2022 17H,739
05/11/2022 16H,808
05/11/2022 15H,870
05/11/2022 14H,625
05/11/2022 13H,675
05/11/2022 12H,696
05/11/2022 11H,520
05/11/2022 10H,385
05/11/2022 09H,419
05/11/2022 08H,344
05/11/2022 07H,374
05/11/2022 06H,450
05/11/2022 05H,383
05/11/2022 04H,277
05/11/2022 03H,465
05/11/2022 02H,709
05/11/2022 01H,628
05/11/2022 00H,645
05/10/2022 23H,438
05/10/2022 22H,295
05/10/2022 21H,762
05/10/2022 20H,845
05/10/2022 19H,858
05/10/2022 18H,630
05/10/2022 17H,619
05/10/2022 16H,560
05/10/2022 15H,483
05/10/2022 14H,445
05/10/2022 13H,321
05/10/2022 12H,32
05/10/2022 11H,-125
05/10/2022 10H,-146
05/10/2022 09H,-75
05/10/2022 08H,-180
05/10/2022 07H,-201
05/10/2022 06H,-225
05/10/2022 05H,-430
05/10/2022 04H,-248
05/10/2022 03H,-234
05/10/2022 02H,-211
05/10/2022 01H,-349
05/10/2022 00H,-233
05/9/2022 23H,138
05/9/2022 22H,413
05/9/2022 21H,557
05/9/2022 20H,573
05/9/2022 19H,541
05/9/2022 18H,453
05/9/2022 17H,610
05/9/2022 16H,582
05/9/2022 15H,452
05/9/2022 14H,248
05/9/2022 13H,-211
05/9/2022 12H,-860
05/9/2022 11H,-819
05/9/2022 10H,-822
05/9/2022 09H,-521
05/9/2022 08H,-243
05/9/2022 07H,-112
05/9/2022 06H,-192
05/9/2022 05H,-239
05/9/2022 04H,-172
05/9/2022 03H,-120
05/9/2022 02H,-22
05/9/2022 01H,-91
05/9/2022 00H,-53
05/8/2022 23H,45
05/8/2022 22H,306
05/8/2022 21H,484
05/8/2022 20H,506
05/8/2022 19H,502
05/8/2022 18H,550
05/8/2022 17H,732
05/8/2022 16H,643
05/8/2022 15H,685
05/8/2022 14H,238
